stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
823,REY40IB,REYNOLDS & 40th NB,,32.052386,-81.092665,,,,,,0
824,40EBIB,40th & E BROAD WB,,32.052861,-81.093506,,,,,,0
825,40PRIIB,40th & PRICE WB,,32.053328,-81.095411,,,,,,0
826,40HABIB,40th & HABERSHAM WB,,32.053633,-81.096411,,,,,,0
828,40ABEIB,40th & ABERCORN WB,,32.054278,-81.098667,,,,,,0
831,ANDABC,ANDERSON & ABERCORN EB,,32.061952,-81.096211,,,,,,0
833,VICSKOB,VICTORY & SKIDAWAY EB,,32.040667,-81.06348,,,,,,0
835,FCL,FALLIGANT & COLLEGE EB,,32.025031,-81.056377,,,,,,0
836,VICSKIB,VICTORY & SKIDAWAY WB,,32.04029,-81.062544,,,,,,0
838,MLKHEOB,MLK & HENRY SB,MARTIN LUTHER KING JR BLVD & W HENRY ST,32.064813,-81.103214,,,,,,0
839,OGLIBWB,OGEECHEE & LIBERTY PKWY WB,,32.055601,-81.134622,,,,,,0
840,HENABIB,HENRY & ABERCORN WB,,32.062643,-81.095594,,,,,,0
841,CHADET,DETENTION CENTER,BUNGER PIT RD & CARL GRIFFIN DR,32.068575,-81.165985,,,,,,0
842,HIGTPK,HIGHLAND WOODS,,32.033852,-81.253397,,,,,,0
844,SAVFLV,SAVANNAH FESTIVAL,,32.001633,-81.283385,,,,,,0
845,AHMC,AL HENDERSON & MUIRFIELD GOLF EB,,32.002648,-81.268001,,,,,,0
846,HOPAMO,HOPKINS & AMARANTH NB,,32.051123,-81.116339,,,,,,0
847,HOP45O,HOPKINS & 45th NB,,32.054273,-81.115191,,,,,,0
848,HOPWVL,HOPKINS & W VICTORY LN NB,,32.055467,-81.114766,,,,,,0
849,OGLIB,OGEECHEE & LIBERTY PKWY NB,,32.055511,-81.134813,,,,,,0
850,HOP49O,HOPKINS & 49th NB,,32.051553,-81.116211,,,,,,0
851,MLKHEIB,MLK & HENRY NB,,32.064724,-81.103055,,,,,,0
852,HOP41O,HOPKINS & 41st NB,,32.057101,-81.114203,,,,,,0
854,OGE37O,OGEECHEE & 37th NB,,32.06027,-81.111683,,,,,,0
855,OGE35O,OGEECHEE & 35th NB,,32.061482,-81.109907,,,,,,0
857,OGEW32O,OGEECHEE & 32nd NB,,32.063313,-81.107258,,,,,,0
859,ANDMLK,ANDERSON & MLK EB,,32.063826,-81.103384,,,,,,0
861,ANDBAR,ANDERSON & BARNARD EB,,32.063046,-81.100404,,,,,,0
862,ANDBUL,ANDERSON & BULL EB,,32.062472,-81.098191,,,,,,0
863,ANDHAB,ANDERSON & HABERSHAM EB,,32.061333,-81.093891,,,,,,0
865,PRIE32,PRICE & 32nd SB,,32.059691,-81.093348,,,,,,0
867,MLKCHOB,MLK & CHARLTON SB,MARTIN LUTHER KING JR BLVD & W HARRIS ST,32.074848,-81.099451,,,,,,0
869,MLKHALOB,MLK & HALL SB,,32.070351,-81.101056,,,,,,0
872,MLKPAOB,MLK & PARK SB,,32.066303,-81.102608,,,,,,0
874,ANDEOA,W ANDERSON & OGEECHEE WB,,32.0644,-81.105428,,,,,,0
875,PRIE36,PRICE & 36th SB,,32.056972,-81.094326,,,,,,0
880,37PRI,37th & PRICE EB,,32.055635,-81.094145,,,,,,0
885,OGEDAOB,OGEECHEE & DAWES WB,,32.056691,-81.126578,,,,,,0
887,37EEBR,37th & E BROAD EB,,32.055348,-81.093134,,,,,,0
888,OGEPLOB,OGEECHEE & PLYMOUTH WB,,32.054809,-81.138292,,,,,,0
889,OGEBIOB,OGEECHEE & BUDGET INN WB,,32.053082,-81.14493,,,,,,0
893,OGEGAOB,OGEECHEE & GAMBLE WB,,32.051255,-81.152515,,,,,,0
894,OGETMOB,OGEECHEE & TEDDER'S MOTEL WB,,32.050634,-81.155334,,,,,,0
896,OGESUNOB,OGEECHEE & CHATHAM PKWY WB,,32.048535,-81.164844,,,,,,0
897,CHAPBOB,CHATHAM PKWY & BUSINESS CTR NB,,32.051235,-81.166518,,,,,,0
898,37EATL,37th & ATLANTIC EB,,32.054433,-81.089899,,,,,,0
899,CHPMSB,CHATHAM PKWY & POLICE MEMORIAL NB,CHATHAM PKY & POLICE MEMORIAL DR,32.05761,-81.163503,,,,,,0
900,37EPAU,37th & PAULSEN EB,,32.053769,-81.087558,,,,,,0
901,CGDTSB,CARL GRIFFIN & RD TO DET CTR SB,CARL GRIFFIN DR,32.065128,-81.166555,,,,,,0
903,CHPMNB,CHATHAM PKWY & POLICE MEMORIAL SB,,32.05778,-81.163322,,,,,,0
905,37CEO,37th & CEDAR EB,,32.051822,-81.080227,,,,,,0
906,CGDTNB,CARL GRIFFIN & RD TO DET CTR NB,CARL GRIFFIN DR & ZUBLEY ST,32.065604,-81.1663,,,,,,0
907,37ASO,37th & ASH EB,,32.051347,-81.078397,,,,,,0
908,CPMCDOB,CHATHAM PKWY & MERSEY SB,,32.049432,-81.165973,,,,,,0
911,OGEFDOB,OGEECHEE & CHURCH WB,,32.047455,-81.16913,,,,,,0
912,OGE2PSOB,OGEECHEE & PAWN SHOP WB,,32.046779,-81.171811,,,,,,0
913,OGERIOB,OGEECHEE & RIDGE WB,,32.04614,-81.174523,,,,,,0
914,OGECSOB,OGEECHEE & CHEVRON STA WB,,32.044932,-81.179501,,,,,,0
915,37BEO,37th & BEE EB,,32.050557,-81.075396,,,,,,0
916,OGEFAOB,OGEECHEE & FALL WB,,32.04395,-81.183542,,,,,,0
